turbine_id,valid_at,wind_speed_ms,temperature_c
T2,2026-02-09T19:00:00Z,3.378748851763262,0.8765502929687727
T2,2026-02-09T20:00:00Z,3.1319080192646287,0.42922363281252274
T2,2026-02-09T21:00:00Z,2.9226165998306946,-0.018103027343727263
T2,2026-02-09T22:00:00Z,2.4449359077928476,-0.18326924641922915
T2,2026-02-09T23:00:00Z,1.9797973396887272,-0.34843546549473103
T2,2026-02-10T00:00:00Z,1.5386180580888507,-0.5136016845702898
T2,2026-02-10T01:00:00Z,0.3572891085176763,-0.43968811035153976
T2,2026-02-10T02:00:00Z,1.0796581998912522,-0.36577453613278976
T2,2026-02-10T03:00:00Z,2.3412314053203493,-0.29186096191403976
T2,2026-02-10T04:00:00Z,2.747343676203447,1.8292175292968977
T2,2026-02-10T05:00:00Z,3.181737402460863,3.9502960205078352
T2,2026-02-10T06:00:00Z,3.6342855367167126,6.071374511718773
T2,2026-02-10T07:00:00Z,4.188656401184048,7.359460449218773
T2,2026-02-10T08:00:00Z,4.743080122409391,8.647546386718773
T2,2026-02-10T09:00:00Z,5.297540104957512,9.935632324218773
T2,2026-02-10T10:00:00Z,4.168776721710358,8.213077799479208
T2,2026-02-10T11:00:00Z,3.1689471685682977,6.490523274739587
T2,2026-02-10T12:00:00Z,2.4605917111015945,4.767968750000023
T2,2026-02-10T13:00:00Z,1.3729200852243277,3.8639261881510834
T2,2026-02-10T14:00:00Z,3.129734038171887,2.959883626302087
T2,2026-02-10T15:00:00Z,5.457608298199851,2.0558410644531477
T2,2026-02-10T16:00:00Z,6.607961198368589,2.0202575683593977
T2,2026-02-10T17:00:00Z,7.825431118884685,1.9846740722656477
T2,2026-02-10T18:00:00Z,9.083069488249654,1.9490905761718977
T2,2026-02-10T19:00:00Z,8.483264585305474,1.8422943115234602
T2,2026-02-10T20:00:00Z,7.885576976652008,1.7354980468750227
T2,2026-02-10T21:00:00Z,7.290527417107106,1.6287017822265852
T2,2026-02-10T22:00:00Z,6.521352715444309,1.7905212402343977
T2,2026-02-10T23:00:00Z,5.754062801657129,1.9523406982422102
T2,2026-02-11T00:00:00Z,4.989527280027108,2.1141601562500227
T2,2026-02-11T01:00:00Z,3.975599591936135,1.7014200846354584
T2,2026-02-11T02:00:00Z,2.985565392888516,1.288680013020894
T2,2026-02-11T03:00:00Z,2.0542658731447356,0.8759399414062727
T2,2026-02-11T04:00:00Z,1.7467318984879419,3.559345499674521
T2,2026-02-11T05:00:00Z,1.6018136668857474,6.242751057942712
T2,2026-02-11T06:00:00Z,1.662592064292119,8.92615661621096
T2,2026-02-11T07:00:00Z,1.6334139682611304,8.737212117513081
T2,2026-02-11T08:00:00Z,3.521818966591911,8.548267618815146
T2,2026-02-11T09:00:00Z,5.654176801043187,8.35932312011721
T2,2026-02-11T10:00:00Z,6.874433698508056,6.70435485839846
T2,2026-02-11T11:00:00Z,8.266411367054948,5.04938659667971
T2,2026-02-11T12:00:00Z,9.756888332866751,3.3944183349609602
T2,2026-02-11T13:00:00Z,9.419356686407314,2.6775451660156477
T2,2026-02-11T14:00:00Z,9.083017393251088,1.9606719970703352
T2,2026-02-11T15:00:00Z,8.748007983594789,1.2437988281250227
T2,2026-02-11T16:00:00Z,7.851150563643648,1.0104309082031477
T2,2026-02-11T17:00:00Z,6.979578268419144,0.7770629882812727
T2,2026-02-11T18:00:00Z,6.144061081808888,0.5436950683593977
