turbine_id,valid_at,wind_speed_ms,temperature_c
T1,2026-02-03T19:00:00Z,4.646173216532236,1.9941446940104584
T1,2026-02-03T20:00:00Z,4.973064075176115,1.9693745930989621
T1,2026-02-03T21:00:00Z,5.305649499681871,1.9446044921875227
T1,2026-02-03T22:00:00Z,5.385880541571074,2.2775665283203352
T1,2026-02-03T23:00:00Z,5.482733597642096,2.6105285644531477
T1,2026-02-04T00:00:00Z,5.595345574438906,2.9434906005859602
T1,2026-02-04T01:00:00Z,5.160154688590193,2.768416341145894
T1,2026-02-04T02:00:00Z,4.7292560020286745,2.593342081705714
T1,2026-02-04T03:00:00Z,4.303938877938178,2.4182678222656477
T1,2026-02-04T04:00:00Z,3.938907637331187,2.9579508463542084
T1,2026-02-04T05:00:00Z,3.6432375032443667,3.497633870442712
T1,2026-02-04T06:00:00Z,3.4348869346586413,4.037316894531273
T1,2026-02-04T07:00:00Z,3.48795987636805,5.399173990885458
T1,2026-02-04T08:00:00Z,3.54608225684513,6.761031087239644
T1,2026-02-04T09:00:00Z,3.6090101237547,8.122888183593773
T1,2026-02-04T10:00:00Z,2.679672856419454,5.931715901692769
T1,2026-02-04T11:00:00Z,1.7886681505350042,3.7405436197917084
T1,2026-02-04T12:00:00Z,1.0397189424480398,1.5493713378906477
T1,2026-02-04T13:00:00Z,1.4079586962864283,1.1880482991537065
T1,2026-02-04T14:00:00Z,3.0952923558769596,0.8267252604166515
T1,2026-02-04T15:00:00Z,4.886356179505394,0.46540222167971024
T1,2026-02-04T16:00:00Z,5.4970546079449205,0.20661824544276897
T1,2026-02-04T17:00:00Z,6.10779997417415,-0.05216573079422915
T1,2026-02-04T18:00:00Z,6.718579477714792,-0.31094970703122726
T1,2026-02-04T19:00:00Z,7.399151990191973,0.008869425455770852
T1,2026-02-04T20:00:00Z,8.079811031728836,0.3286885579427121
T1,2026-02-04T21:00:00Z,8.760536433451202,0.6485076904297102
T1,2026-02-04T22:00:00Z,8.831145502710768,0.6921478271484602
T1,2026-02-04T23:00:00Z,8.902878244232566,0.7357879638672102
T1,2026-02-05T00:00:00Z,8.975707717309465,0.7794281005859602
T1,2026-02-05T01:00:00Z,9.031588754658845,0.6587717692057709
T1,2026-02-05T02:00:00Z,9.087512653342735,0.5381154378255246
T1,2026-02-05T03:00:00Z,9.143478626907893,0.41745910644533524
T1,2026-02-05T04:00:00Z,9.3093610613753,1.8411295572917084
T1,2026-02-05T05:00:00Z,9.478215232062588,3.2648000081380815
T1,2026-02-05T06:00:00Z,9.649885141465633,4.688470458984398
T1,2026-02-05T07:00:00Z,9.490065799067436,5.527642822265648
T1,2026-02-05T08:00:00Z,9.338152386492313,6.366815185546898
T1,2026-02-05T09:00:00Z,9.194536780700107,7.205987548828148
T1,2026-02-05T10:00:00Z,8.586807101278067,6.373264567057333
T1,2026-02-05T11:00:00Z,7.979369631791942,5.540541585286462
T1,2026-02-05T12:00:00Z,7.372296602162665,4.707818603515648
T1,2026-02-05T13:00:00Z,6.598298084747091,3.8892913818359602
T1,2026-02-05T14:00:00Z,5.838016382929573,3.0707641601562727
T1,2026-02-05T15:00:00Z,5.097592589329802,2.2522369384765852
T1,2026-02-05T16:00:00Z,5.383457237225372,2.3796732584635834
T1,2026-02-05T17:00:00Z,5.669401887588309,2.5071095784505246
T1,2026-02-05T18:00:00Z,5.955415016659803,2.6345458984375227
