turbine_id,valid_at,wind_speed_ms,temperature_c
T1,2026-02-22T19:00:00Z,1.451166522213143,0.7931711832682709
T1,2026-02-22T20:00:00Z,1.5263805713556269,0.6340474446614621
T1,2026-02-22T21:00:00Z,1.6997171090453833,0.47492370605471024
T1,2026-02-22T22:00:00Z,1.6368616686646302,0.43308410644533524
T1,2026-02-22T23:00:00Z,1.5740690669273625,0.39124450683596024
T1,2026-02-23T00:00:00Z,1.5113471362078463,0.34940490722658524
T1,2026-02-23T01:00:00Z,0.47440355499733333,0.7524607340495209
T1,2026-02-23T02:00:00Z,0.6077724704718666,1.1555165608723996
T1,2026-02-23T03:00:00Z,1.6483798393367237,1.5585723876953352
T1,2026-02-23T04:00:00Z,2.3037529408536006,3.573866780599019
T1,2026-02-23T05:00:00Z,2.9594006657391345,5.589161173502589
T1,2026-02-23T06:00:00Z,3.6151736000348054,7.604455566406273
T1,2026-02-23T07:00:00Z,4.242458679708601,7.965859985351585
T1,2026-02-23T08:00:00Z,4.87044548407169,8.327264404296898
T1,2026-02-23T09:00:00Z,5.498893602464685,8.68866882324221
T1,2026-02-23T10:00:00Z,5.565518716306639,7.918776448567769
T1,2026-02-23T11:00:00Z,5.670165763784713,7.148884073893271
T1,2026-02-23T12:00:00Z,5.810780883232249,6.378991699218773
T1,2026-02-23T13:00:00Z,6.237870720023973,5.05707702636721
T1,2026-02-23T14:00:00Z,6.665647705090404,3.7351623535156477
T1,2026-02-23T15:00:00Z,7.093987531626416,2.4132476806640852
T1,2026-02-23T16:00:00Z,7.465406376560969,1.2171620686849565
T1,2026-02-23T17:00:00Z,7.844860108092284,0.021076456705770852
T1,2026-02-23T18:00:00Z,8.231237594911995,-1.1750091552734148
T1,2026-02-23T19:00:00Z,7.7317998693148,-1.5909383138020416
T1,2026-02-23T20:00:00Z,7.234176042885337,-2.0068674723306685
T1,2026-02-23T21:00:00Z,6.738767969358496,-2.4227966308593523
T1,2026-02-23T22:00:00Z,6.697296410877952,-2.531108601887979
T1,2026-02-23T23:00:00Z,6.656171298529138,-2.639420572916663
T1,2026-02-24T00:00:00Z,6.615399093438367,-2.7477325439452898
T1,2026-02-24T01:00:00Z,6.302794364229248,-2.5567382812499773
T1,2026-02-24T02:00:00Z,5.991709806633435,-2.3657440185546648
T1,2026-02-24T03:00:00Z,5.682395092996184,-2.1747497558593523
T1,2026-02-24T04:00:00Z,5.460530235440964,-1.3973907470702898
T1,2026-02-24T05:00:00Z,5.286029148786495,-0.6200317382812273
T1,2026-02-24T06:00:00Z,5.163695878135513,0.15732727050783524
T1,2026-02-24T07:00:00Z,5.043822415895883,0.7334482828776459
T1,2026-02-24T08:00:00Z,4.926925730537425,1.3095692952473996
T1,2026-02-24T09:00:00Z,4.813222714075007,1.8856903076172102
T1,2026-02-24T10:00:00Z,4.365291196198827,1.4380482991537065
T1,2026-02-24T11:00:00Z,3.917615128519252,0.990406290690089
T1,2026-02-24T12:00:00Z,3.4702933734863635,0.5427642822265852
T1,2026-02-24T13:00:00Z,2.4720404956480575,-0.5597747802734148
T1,2026-02-24T14:00:00Z,1.4836553360033726,-1.6623138427734148
T1,2026-02-24T15:00:00Z,0.5600740396104134,-2.7648529052734148
T1,2026-02-24T16:00:00Z,0.649100277657334,-3.3557088216145416
T1,2026-02-24T17:00:00Z,1.5794692269484887,-3.9465647379557254
T1,2026-02-24T18:00:00Z,2.5561413370768085,-4.537420654296852
